term,score,already_in_dictionary
編集,9,no
かたより,9,no
海水,9,no
下水処理しせつ,9,no
オランダ,9,no
しゅうかく,9,no
もやして,9,no
プランクトン,9,no
宮崎県,9,no
栃木県,9,no
山梨県,9,no
生産方法,9,no
新政府,9,no
朝鮮戦争,9,no
上下水道,9,no
北九州港,8,no
国家総動員法,8,no
福島県,8,no
瀬戸内海,8,no
公海,8,no
自由民権,8,no
製紙工業,8,no
他国,8,no
国権,8,no
大型機械,8,no
サンフランシスコ平和条約,8,no
石油資源,8,no
サウジアラビア王国,8,no
講和条約,8,no
治療方法,8,no
戦法,7,no
商工業,7,no
鉱山,7,no
手工業,7,no
自国,7,no
工業国,7,no
重工業,7,no
戦国大名,6,no
戦国の世の中,6,no
ポルトガル人,6,no
長篠の戦い,6,no
天下統一,6,no
桶狭間,6,no
比叡山延暦寺,6,no
武力,6,no
商工業をさかんに,6,no
自由に商売を,6,no
関所,6,no
竹やり,6,no
検地,6,no
刀狩,6,no
身分,6,no
愛知,6,no
関ケ原,6,no
鉄砲を使った戦法,6,no
楽市・楽座,6,no
保護,6,no
みどり,6,no
町田市,6,no
川崎市,6,no
横浜駅のまわり,6,no
海に面した所,6,no
南東,6,no
使われ方,6,no
土地の高さ,6,no
土地の使われ方,6,no
県立歴史博物館,6,no
ゆうびん局,6,no
東海道新幹線,6,no
横浜線,6,no
東京湾,6,no
河口,6,no
ひくい,6,no
直線,6,no
市民,6,no
ハイキングコース,6,no
各地,6,no
ショッピングセンター,6,no
宿場町,6,no
くんち,6,no
ソーラン,6,no
七夕まつり,6,no
京都府,6,no
三重県と奈良県と和歌山県,6,no
北海道地方,6,no
関東地方,6,no
周防灘,6,no
衛星,6,no
住宅や商店,6,no
せまい,6,no
大きな川,6,no
南西側,6,no
農産物,6,no
筑紫,6,no
かき,6,no
かに,6,no
のり,6,no
出荷額,6,no
つくったせい品,6,no
県ちょう所ざい地,6,no
同じ年に開催,6,no
4年に一度,6,no
新型コロナウイルス,6,no
延期,6,no
対策,6,no
長い歴史,6,no
戦争の影響,6,no
段差,6,no
スロープ,6,no
それぞれ選びましょう。,6,no
公布,6,no
施行,6,no
国民の祝日,6,no
基本的人権の尊重,6,no
生まれながら,6,no
人間らしく生きる,6,no
前文,6,no
だれ,6,no
考え,6,no
投票,6,no
考え方,6,no
郵便による投票,6,no
